idMedicamento;codigoMedicamento;nombreMedicamento;idProveedorMedicamento;precioCMedicamento;precioVMedicamento;descuentoMedicamento;tipoMedicamento;idClasificacionMedicamento;stockMedicamento;usadosMedicamento;pivoteMedicamento;minimoMedicamento;ocultarMedicamento;feriadoMedicamento;idFabricante;Test
1;1000;ACETAMINOFÉN;1;0;0;0;Servicios;27;0;0;1;0;0;0;1;
2;1001;AZITROMICINA;1;0;0;0;Servicios;27;0;0;1;0;0;0;1;
3;1002;DOGENAL;1;0;0;0;Servicios;27;0;0;1;0;0;0;1;
4;1003;ANALGAN;1;0;0;0;Servicios;27;0;0;1;0;0;0;1;
5;1004;HEMOGRAMA;1;0;0;0;Servicios;27;0;0;1;0;0;0;1;
6;1005;LEUCOGRAMA;1;0;0;0;Servicios;27;0;0;1;0;0;0;1;
7;1006;HEMATOCRITO;1;0;0;0;Servicios;27;0;0;1;0;0;0;1;
8;1007;HEMOGLOBINA;1;0;0;0;Servicios;27;0;0;1;0;0;0;1;
9;1008;RECUENTO DE PLAQUETAS;1;0;0;0;Servicios;27;0;0;1;0;0;0;1;
10;1009;RETICULOSITOS;1;0;0;0;Servicios;27;0;0;1;0;0;0;1;
11;1010;ERITROSEDIMENTACION;1;0;0;0;Servicios;27;0;0;1;0;0;0;1;
12;1011;GOTA GRUESA;1;0;0;0;Servicios;27;0;0;1;0;0;0;1;
13;1012;FOTIS DE SANGRE PERIFERICA;1;0;0;0;Servicios;27;0;0;1;0;0;0;1;
14;1013;CONCENTRADO DE STROUT;1;0;0;0;Servicios;27;0;0;1;0;0;0;1;
15;1014;DIMERO D;1;0;0;0;Servicios;27;0;0;1;0;0;0;1;
16;1015;FERRITINA;1;0;0;0;Servicios;27;0;0;1;0;0;0;1;
17;1016;INMONULOGIA;1;0;0;0;Servicios;27;0;0;1;0;0;0;1;
18;1017;PRUEBA DE EMBARAZO EN SANGRE;1;0;0;0;Servicios;27;0;0;1;0;0;0;1;
19;1018;PRUEBA DE EMBARAZO EN ORINA;1;0;0;0;Servicios;27;0;0;1;0;0;0;1;
20;1019;SEROLOGIA PARA SIFILIS;1;0;0;0;Servicios;27;0;0;1;0;0;0;1;
21;1020;GRUPO SANGUINEO Y FACTOR RH;1;0;0;0;Servicios;27;0;0;1;0;0;0;1;
22;1021;ANTICUERPOS PARA H.I.V;1;0;0;0;Servicios;27;0;0;1;0;0;0;1;
23;1022;"PROTEINA ""C"" REACTIVA";1;0;0;0;Servicios;27;0;0;1;0;0;0;1;
24;1023;FACTOR REUMATOIDEO;1;0;0;0;Servicios;27;0;0;1;0;0;0;1;
25;1024;"ANTIESTREPTOLISINA ""O""";1;0;0;0;Servicios;27;0;0;1;0;0;0;1;
26;1025;ANTIGENO PROSTATICO ESPECIFICO;1;0;0;0;Servicios;27;0;0;1;0;0;0;1;
27;1026;AC. PARA HELICOBACTER PYLORI;1;0;0;0;Servicios;27;0;0;1;0;0;0;1;
28;1027;ANTIGENOS FEBRILES;1;0;0;0;Servicios;27;0;0;1;0;0;0;1;
29;1028;COOMBS DIRECTO;1;0;0;0;Servicios;27;0;0;1;0;0;0;1;
30;1029;COOMBS INDIRECTO;1;0;0;0;Servicios;27;0;0;1;0;0;0;1;
31;1030;AC. PARA CHAGAS;1;0;0;0;Servicios;27;0;0;1;0;0;0;1;
32;1031;"TOXOPLASMA IG ""G""";1;0;0;0;Servicios;27;0;0;1;0;0;0;1;
33;1032;"TOXOPLASMA IG ""M""";1;0;0;0;Servicios;27;0;0;1;0;0;0;1;
34;1033;UROLOGIA;1;0;0;0;Servicios;27;0;0;1;0;0;0;1;
35;1034;GENERAL DE ORINA;1;0;0;0;Servicios;27;0;0;1;0;0;0;1;
36;1035;PROTEINAS AL AZAR;1;0;0;0;Servicios;27;0;0;1;0;0;0;1;
37;1036;COPROLOGIA;1;0;0;0;Servicios;27;0;0;1;0;0;0;1;
38;1037;GENERAL DE HECES;1;0;0;0;Servicios;27;0;0;1;0;0;0;1;
39;1038;CONCENTRADO DE HECES;1;0;0;0;Servicios;27;0;0;1;0;0;0;1;
40;1039;SANGRE OCULTA EN HECES;1;0;0;0;Servicios;27;0;0;1;0;0;0;1;
41;1040;PRUEBA AZUL DE METILENO;1;0;0;0;Servicios;27;0;0;1;0;0;0;1;
42;1041;AZUCARES REDUCTORES;1;0;0;0;Servicios;27;0;0;1;0;0;0;1;
43;1042;HELICOBACTER PYLORY EN HECES;1;0;0;0;Servicios;27;0;0;1;0;0;0;1;
44;1043;BACTERIOLOGIA;1;0;0;0;Servicios;27;0;0;1;0;0;0;1;
45;1044;UROCULTIVO;1;0;0;0;Servicios;27;0;0;1;0;0;0;1;
46;1045;COPROCULTIVO;1;0;0;0;Servicios;27;0;0;1;0;0;0;1;
47;1046;DIRECTO DE SECRESIONES;1;0;0;0;Servicios;27;0;0;1;0;0;0;1;
48;1047;CULTIVO DE SECRESIONES;1;0;0;0;Servicios;27;0;0;1;0;0;0;1;
49;1048;CULTIVO FARINGEO;1;0;0;0;Servicios;27;0;0;1;0;0;0;1;
50;1049;CULTIVO DE ESPUTO;1;0;0;0;Servicios;27;0;0;1;0;0;0;1;
51;1050;COLORACION DE GRAM;1;0;0;0;Servicios;27;0;0;1;0;0;0;1;
52;1051;KOH;1;0;0;0;Servicios;27;0;0;1;0;0;0;1;
53;1052;BACILOSCOPIA;1;0;0;0;Servicios;27;0;0;1;0;0;0;1;
54;1053;QUIMICA SANGUINEA;1;0;0;0;Servicios;27;0;0;1;0;0;0;1;
